Number of Learning Problems, Avg. Matched Rate, Avg. Coverage Rate
1, 0.0, 0.7575757575757576
2, 0.08, 0.7575757575757576
3, 0.76, 0.7575757575757576
4, 0.76, 0.7575757575757576
5, 0.76, 0.7575757575757576
6, 0.76, 0.7575757575757576
7, 0.76, 0.7575757575757576
8, 0.76, 0.7575757575757576
9, 0.76, 0.7575757575757576
10, 0.76, 0.7575757575757576
11, 0.76, 0.7575757575757576
12, 0.76, 0.7575757575757576
13, 0.76, 0.7575757575757576
14, 0.72, 0.7575757575757576
15, 0.72, 0.7575757575757576
16, 0.64, 0.7575757575757576
17, 0.64, 0.7575757575757576
18, 0.64, 0.7575757575757576
19, 0.64, 0.7575757575757576
20, 0.64, 0.7575757575757576
21, 0.64, 0.7575757575757576
22, 0.64, 0.7575757575757576
23, 0.68, 0.7575757575757576
24, 0.68, 0.7575757575757576
25, 0.68, 0.7575757575757576
26, 0.68, 0.7575757575757576
27, 0.68, 0.7575757575757576
28, 0.68, 0.7575757575757576
29, 0.68, 0.7575757575757576
30, 0.68, 0.7575757575757576
31, 0.68, 0.7575757575757576
32, 0.68, 0.7575757575757576
33, 0.68, 0.7575757575757576
34, 0.68, 0.7575757575757576
35, 0.68, 0.7575757575757576
36, 0.68, 0.7575757575757576
37, 0.68, 0.7575757575757576
38, 0.68, 0.7575757575757576
39, 0.68, 0.7575757575757576
40, 0.68, 0.7575757575757576
41, 0.68, 0.7575757575757576
42, 0.68, 0.7575757575757576
43, 0.68, 0.7575757575757576
44, 0.68, 0.7575757575757576
45, 0.68, 0.7575757575757576
46, 0.68, 0.7575757575757576
47, 0.68, 0.7575757575757576
48, 0.68, 0.7575757575757576
49, 0.68, 0.7575757575757576
50, 0.72, 0.7575757575757576
51, 0.72, 0.7575757575757576
52, 0.72, 0.7575757575757576
53, 0.72, 0.7575757575757576
54, 0.72, 0.7575757575757576
55, 0.68, 0.7575757575757576
56, 0.68, 0.7575757575757576
57, 0.68, 0.7575757575757576
58, 0.68, 0.7575757575757576
59, 0.68, 0.7575757575757576
60, 0.68, 0.7575757575757576
61, 0.68, 0.7575757575757576
62, 0.68, 0.7575757575757576
63, 0.68, 0.7575757575757576
64, 0.68, 0.7575757575757576
65, 0.68, 0.7575757575757576
66, 0.68, 0.7575757575757576
67, 0.68, 0.7575757575757576
68, 0.68, 0.7575757575757576
69, 0.68, 0.7575757575757576
70, 0.68, 0.7575757575757576
71, 0.68, 0.7575757575757576
72, 0.68, 0.7575757575757576
73, 0.68, 0.7575757575757576
74, 0.64, 0.7575757575757576
75, 0.64, 0.7575757575757576
76, 0.64, 0.7575757575757576
77, 0.64, 0.7575757575757576
78, 0.64, 0.7575757575757576
79, 0.64, 0.7575757575757576
80, 0.64, 0.7575757575757576
81, 0.64, 0.7575757575757576
82, 0.64, 0.7575757575757576
83, 0.64, 0.7575757575757576
84, 0.64, 0.7575757575757576
85, 0.64, 0.7575757575757576
86, 0.64, 0.7575757575757576
87, 0.64, 0.7575757575757576
88, 0.64, 0.7575757575757576
89, 0.68, 0.7575757575757576
90, 0.68, 0.7575757575757576
91, 0.68, 0.7575757575757576
92, 0.68, 0.7575757575757576
93, 0.68, 0.7575757575757576
94, 0.68, 0.7575757575757576
95, 0.68, 0.7575757575757576
96, 0.68, 0.7575757575757576
97, 0.68, 0.7575757575757576
98, 0.68, 0.7575757575757576
99, 0.68, 0.7575757575757576
100, 0.68, 0.7575757575757576
120, 0.76, 0.7575757575757576
140, 0.84, 0.7575757575757576
160, 0.9, 0.7575757575757576
180, 0.94, 0.7575757575757576
200, 0.94, 0.7575757575757576
220, 0.96, 0.7575757575757576
240, 0.8600000000000001, 0.7575757575757576
260, 0.98, 0.7575757575757576
280, 0.92, 0.7575757575757576
300, 0.92, 0.7575757575757576
320, 0.88, 0.7575757575757576
340, 0.86, 0.7575757575757576
360, 0.92, 0.7575757575757576
380, 0.92, 0.7575757575757576
400, 0.92, 0.7575757575757576
420, 0.92, 0.7575757575757576
440, 0.9199999999999999, 0.7575757575757576
460, 0.96, 0.7575757575757576
480, 0.96, 0.7575757575757576
500, 0.96, 0.7575757575757576
520, 1.0, 0.7575757575757576
540, 0.96, 0.7575757575757576
560, 0.96, 0.7575757575757576
580, 1.0, 0.7575757575757576
600, 1.0, 0.7575757575757576
620, 1.0, 0.7575757575757576
640, 1.0, 0.7575757575757576
660, 1.0, 0.7575757575757576
680, 1.0, 0.7575757575757576
700, 1.0, 0.7575757575757576
720, 0.96, 0.7575757575757576
740, 0.96, 0.7575757575757576
760, 0.96, 0.7575757575757576
780, 0.96, 0.7575757575757576
800, 0.96, 0.7575757575757576
820, 0.96, 0.7575757575757576
840, 1.0, 0.7575757575757576
860, 1.0, 0.7575757575757576
880, 0.96, 0.7575757575757576
900, 0.96, 0.7575757575757576
920, 0.9199999999999999, 0.7575757575757576
940, 0.96, 0.7575757575757576
960, 0.96, 0.7575757575757576
980, 0.96, 0.7575757575757576
1000, 0.96, 0.7575757575757576
1020, 0.96, 0.7575757575757576
1040, 0.96, 0.7575757575757576
1060, 0.96, 0.7575757575757576
1080, 0.96, 0.7575757575757576
1100, 0.96, 0.7575757575757576
1120, 0.96, 0.7575757575757576
1140, 0.96, 0.7575757575757576
1160, 0.96, 0.7575757575757576
1180, 0.96, 0.7575757575757576
1200, 0.96, 0.7575757575757576
1220, 0.96, 0.7575757575757576
1240, 0.96, 0.7575757575757576
1260, 0.96, 0.7575757575757576
1280, 0.96, 0.7575757575757576
1300, 0.96, 0.7575757575757576
1320, 0.96, 0.7575757575757576
1340, 0.96, 0.7575757575757576
1360, 0.94, 0.7575757575757576
1380, 0.94, 0.7575757575757576
1400, 0.94, 0.7575757575757576
1420, 0.94, 0.7575757575757576
1440, 0.98, 0.7575757575757576
1460, 0.98, 0.7575757575757576
1480, 0.98, 0.7575757575757576
1500, 0.98, 0.7575757575757576
1520, 0.98, 0.7575757575757576
1540, 0.94, 0.7575757575757576
1560, 0.98, 0.7575757575757576
1580, 0.98, 0.7575757575757576
1600, 0.98, 0.7575757575757576
1620, 0.98, 0.7575757575757576
1640, 0.98, 0.7575757575757576
1660, 1.0, 0.7575757575757576
1680, 1.0, 0.7575757575757576
1700, 1.0, 0.7575757575757576
1720, 1.0, 0.7575757575757576
1740, 1.0, 0.7575757575757576
1760, 1.0, 0.7575757575757576
1780, 1.0, 0.7575757575757576
1800, 1.0, 0.7575757575757576
1820, 1.0, 0.7575757575757576
1840, 1.0, 0.7575757575757576
1860, 1.0, 0.7575757575757576
1880, 1.0, 0.7575757575757576
1900, 1.0, 0.7575757575757576
1920, 1.0, 0.7575757575757576
1940, 1.0, 0.7575757575757576
1960, 0.96, 0.7575757575757576
1980, 0.96, 0.7575757575757576
2000, 0.96, 0.7575757575757576
2020, 1.0, 0.7575757575757576
2040, 1.0, 0.7575757575757576
2060, 1.0, 0.7575757575757576
2080, 1.0, 0.7575757575757576
2100, 0.96, 0.7575757575757576
2120, 0.96, 0.7575757575757576
2140, 1.0, 0.7575757575757576
2160, 1.0, 0.7575757575757576
2180, 1.0, 0.7575757575757576
2200, 1.0, 0.7575757575757576
2220, 1.0, 0.7575757575757576
2240, 1.0, 0.7575757575757576
2260, 1.0, 0.7575757575757576
2280, 1.0, 0.7575757575757576
2300, 0.96, 0.7575757575757576
2320, 0.96, 0.7575757575757576
2340, 0.96, 0.7575757575757576
2360, 0.96, 0.7575757575757576
2380, 0.96, 0.7575757575757576
2400, 1.0, 0.7575757575757576
2420, 1.0, 0.7575757575757576
2440, 1.0, 0.7575757575757576
2460, 1.0, 0.7575757575757576
2480, 1.0, 0.7575757575757576
2500, 1.0, 0.7575757575757576
2520, 1.0, 0.7575757575757576
2540, 1.0, 0.7575757575757576
2560, 1.0, 0.7575757575757576
2580, 1.0, 0.7575757575757576
2600, 1.0, 0.7575757575757576
2620, 1.0, 0.7575757575757576
2640, 1.0, 0.7575757575757576
2660, 1.0, 0.7575757575757576
2680, 1.0, 0.7575757575757576
2700, 1.0, 0.7575757575757576
2720, 1.0, 0.7575757575757576
2740, 1.0, 0.7575757575757576
2760, 1.0, 0.7575757575757576
2780, 1.0, 0.7575757575757576
2800, 1.0, 0.7575757575757576
2820, 1.0, 0.7575757575757576
2840, 1.0, 0.7575757575757576
2860, 1.0, 0.7575757575757576
2880, 1.0, 0.7575757575757576
2900, 1.0, 0.7575757575757576
2920, 1.0, 0.7575757575757576
2940, 1.0, 0.7575757575757576
2960, 1.0, 0.7575757575757576
2980, 1.0, 0.7575757575757576
3000, 1.0, 0.7575757575757576
